収集日,検索キーワード,ジャンル,アカウント,投稿日,表示回数,いいね,返信,リポスト,本文(フック),続き(ツリー),URL
2026年09月24日(木),AI副業,AI,y__fixer,2026年09月18日(金),,890,28,0,悪いこと言わないから、全社会人「チャッピー」に3000円課金したほうがいい。 10分で作った商品が、「ココナラ」で注文が止まらない。 しかも、このプロンプト使うだけ↓,,https://www.threads.com/@y__fixer/post/DdcWf4MkcdE
2026年09月24日(木),ChatGPT,AI,akmarques_,2026年09月23日(水),,901,22,0,🚨 O ChatGPT tem uma funcionalidade chamada “Modo de Aprendizado de Idiomas”.  Usando essa funcionalidade、 você pode aprender qualquer idioma do zero.  Aqui estão 7 prompts que você pode usar para ativar esse modo:,,https://www.threads.com/@akmarques_/post/Ddoa_yhkUSu
2026年09月24日(木),Gemini,AI,girldivinity90,2026年09月23日(水),,871,17,0,🌬️ AIR SIGNS — Gemini ♊️ Libra ♎️ Aquarius ♒️ I keep seeing your signature being needed. ✍🏽👀 Something is moving from “I’m waiting on the approval” to “Okay、 it’s official.” This could be paperwork for a new lease、 a new car、 a home、 a job、 or another opportunity that requires your name on the dotted line. There’s a strong feeling of things getting approved、 finalized、 and put into motion. What you’ve been waiting to hear back about may finally start becoming real. Congratulations、 Air Signs!,,https://www.threads.com/@girldivinity90/post/DdoSNOkiMBA
2026年09月24日(木),同棲,不動産,miyakolz,2026年09月16日(水),,780,34,0,同棲するならうちの親が一度会いたがってると伝えると、じゃ今週末に挨拶どう？ご両親に予定確認しておいて！とさっと日にち押さえてくれた。  当日、緊張するわぁと言葉数が減ってきた彼。手土産に冷蔵品があって彼がクーラーボックス持っててんけど、実家入る数歩前、片手でクーラーボックスの底をササっとはたいてた。  行動力、判断力、、なに？別班なの？,,https://www.threads.com/@miyakolz/post/DdVZDUrEvNP
2026年09月24日(木),引越し,不動産,odn_room,2026年09月20日(日),,647,72,0,引越して3日目。 京都での新しい生活が始まっていますが既に最高です!! しばらくはこの家でゆったりと暮らしていきます。,,https://www.threads.com/@odn_room/post/DdhuX8eE7JJ
2026年09月24日(木),住宅ローン,不動産,yuu_________a,2026年09月22日(火),,341,148,0,夫:勤務医2000万弱（額面） 私:公務員（育休中）復帰しても時短なので400万くらい（額面） 土地建物併せて総額9500万ほど 頭金1000〜1500万入れて8500〜9000万の夫単独ローン予定  土地の契約が迫っており、額が額だけに怖気付いてきたので背中押してください そして私が専業主婦になるのは無謀でしょうか？,,https://www.threads.com/@yuu_________a/post/DdmXZ82I_NH
2026年09月24日(木),Gemini,AI,honey.obsidian,2026年09月23日(水),,745,8,0,🔓 THESE SIGNS ARE LEAVING BROKE ENERGY BEHIND ♈️ Aries ♊️ Gemini ♎️ Libra ♑️ Capricorn ♋️ Cancer Unexpected blessings. Debts clearing. Mindset shift = bank shift. You’re not struggling anymore、 you’re upgrading.,,https://www.threads.com/@honey.obsidian/post/DdokCCHGO80
2026年09月24日(木),引越し,不動産,azuki.rabbit0701,2026年09月15日(火),,482,56,0,9月30日には愛媛に引越し。今は有休消化中で毎日荷造り。引っ越しまで後少し。初めての県外なんだよね💦愛媛県在住の方、友達になってくれる方居ませんか？,,https://www.threads.com/@azuki.rabbit0701/post/DdTtJkZE1jA
2026年09月24日(木),マイホーム,不動産,__mahi_324,2026年09月23日(水),,506,26,0,念願のマイホームに入居したけど、  前の家から持ってきたものを 新築にどんどん入れていくと……  あれ？ 新築感がどんどん薄れていく🥹  嬉しいはずなのに、ちょっと悲しくなる現象。笑  同じ人いる？😂,,https://www.threads.com/@__mahi_324/post/DdnWQMyH-Vo
2026年09月24日(木),住宅ローン,不動産,ituka0116,2026年09月06日(日),,316,87,0,資産が1000万超えた位はある程度の達成感がありました。 だけど3000万超えると純富裕層を目指して5000万を超えると富裕層目指す。 老後に贅沢したい訳じゃないし海外旅行バリバリするほどアクティブでもないし住宅ローンも払い済みなのに‥ 今8000万になったのに一億になったらあれ買おうとかこれ買おうとか考えてる。 アラカンなんで使うならもう今ですよね😣,,https://www.threads.com/@ituka0116/post/Dc7SZ8nGRJl
2026年09月24日(木),AI副業,AI,shiomaru86,2026年09月04日(金),,406,52,0,マジでゲロ吐きそうです🤮 私が作ったSNS運用の一人会社が 2ヶ月で【¥981245】発生してます‼️  競合分析・投稿作成・動画編集・顧客対応、 全部AI社員がやってくれてます、、、  具体的にどうやったかというと、,,https://www.threads.com/@shiomaru86/post/Dc3ZoQuCYxl
2026年09月24日(木),Gemini,AI,orishajune,2026年09月23日(水),,467,18,0,🌬️ AIR SIGNS 🌬️ Gemini ♊️ Libra ♎️ Aquarius ♒️  You already know what this is. 😭 You know this person gives you the kind of love you’ve been asking for、 and deep down、 you know the feelings are mutual. The problem is your mind keeps finding reasons to be afraid of it. You’re preparing yourself for the worst-case scenario before anything has even happened.,,https://www.threads.com/@orishajune/post/DdohYX1FL2J
2026年09月24日(木),引越し,不動産,yellownote_58,2026年09月23日(水),,422,30,0,今の賃貸に20年住んでるんだけど、私以外の部屋はどんどん人が入れ替わる。 「今度こそ長くいてくれるかなぁ」と思ってたお隣さん、3年でお引越しされました💦  賃貸で20年住み続けるって、そんなに珍しいのかな❓ 住み心地が良すぎて住人の「ヌシ」化してます。 同じような長老仲間いませんか❓,,https://www.threads.com/@yellownote_58/post/Ddn9bCvCXwk
2026年09月24日(木),Gemini,AI,melanyn.monroe,2026年09月23日(水),,415,14,0,Message in Love 💕🌹  ㅤ💨 AIR SIGNS 💨 (Gemini、 Libra、 Aquarius)  ㅤSun 🌞 Moon 🌕 Rising ⬆️ Venus 💖  ㅤIt looks like you’re either releasing or have already released what was more than likely a very toxic connection or karmic partner. You may have felt that you and this person were destined to be together in some way、 but time has shown you that there’s a lack of compatibility and long-term sustainability between the two of you.  However、 I’m seeing someone else coming into your life.,,https://www.threads.com/@melanyn.monroe/post/DdofFejEX39
2026年09月24日(木),引越し,不動産,nnmama_k,2026年09月15日(火),,317,44,0,香川県に0歳👶と一緒に お引越しすることになりました。 知らない土地で分からないことばかりです。 仲良くしてくれる方いたら嬉しいです。 👩1995 👶🎀2006.02生まれ よろしくお願いします。,,https://www.threads.com/@nnmama_k/post/DdSvlYKkfIK
2026年09月24日(木),賃貸,不動産,iceblock_555,2026年09月05日(土),,316,44,0,賃貸のアパートで突っ張り棒式の棚を使ってたらいつの間にか壁がとんでもないことになってた😱  これって退去費用とかどうなりそうですかね💦 保険使えるのかしら･･･,,https://www.threads.com/@iceblock_555/post/Dc58pHxgbgS
